id,title,metadata,pdf_url,toc_pdf,abstract_url,image_url
RM113,《2020中國效應：台港民眾的態度變遷》,"(2020 China Impact: Attitude Changes in Taiwan and Hong Kong)
蕭新煌、陳志柔、鄭宏泰編
(Edited by Michael Hsin-huang HSIAO, Chih-Jou CHEN, Victor Wan-tai ZHENG)
Chinese/21.5 x 14 cm/paperback/x + 366 pages/
published in February 2022
ISBN 978-962-441-613-8; listed price: US$15.00 (HK$100.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM113.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM113-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a2020%e4%b8%ad%e5%9c%8b%e6%95%88%e6%87%89%ef%bc%9a%e5%8f%b0%e6%b8%af%e6%b0%91%e7%9c%be%e7%9a%84%e6%85%8b%e5%ba%a6%e8%ae%8a%e9%81%b7%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM113.jpg
PRR04,抗疫路上：香港市民眼中的新冠疫情衝擊與應變研究,"(On the Road to Combat the Pandemic: Hong Kong Citizens’ Views on the Impact of and Responses to COVID-19)
By Victor ZHENG, Hua GUO and Fanny M. CHEUNG
Chinese/21.0 x 29.7 cm/paperback/50 + vi pages/published in January 2022
ISBN 978-962-441-824-8",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/20220103-111310_2_policy_research_report_04.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/PRR04-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PRR04.jpg
RM112,《勾勒與比較台港社會意索》,"(A Comparison of the Social Ethos of Taiwan and Hong Kong)
蕭新煌、尹寶珊、楊文山、鄭宏泰編
(Edited by Michael Hsin-huang HSIAO, Po-san WAN, Wen-shan YANG, Victor Wan-tai ZHENG)
Chinese/21.5 x 14 cm/paperback/xvi + 360 pages/
published in July 2021
ISBN 978-962-441-612-1; listed price: US$15.00 (HK$100.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM112.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM112-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e5%8b%be%e5%8b%92%e8%88%87%e6%af%94%e8%bc%83%e5%8f%b0%e6%b8%af%e7%a4%be%e6%9c%83%e6%84%8f%e7%b4%a2%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM112.jpg
PRR03,跨境就學就業的性別歧視及性騷擾問題,"(Sex Discrimination and Sexual Harassment in Cross-border Education and Employment)
By Fanny M. CHEUNG and Sally K. W. LO
Chinese/21.0 x 29.7 cm/paperback/26 + iv pages/published in April 2021
ISBN 978-962-441-823-1",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/20210420-130817_3_policy_research_report_03.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/PRR03-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PRR03.jpg
OP244(T),被害者視角：刑法何以保護人工智能體？[繁體中文],"(The Victim’s Perspective: How Does Criminal Law Protect AI?) [Traditional Chinese]
JIA Jian
Chinese/21.5 x 14 cm/paperback/ii+31 pages/published in March 2021
ISBN 978-962-441-244-4",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/OP244_T.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP244_T.jpg
OP244(S),被害者视角：刑法何以保护人工智能体？[简体中文],"(The Victim’s Perspective: How Does Criminal Law Protect AI?) [Simplified Chinese]
JIA Jian
Chinese/21.5 x 14 cm/paperback/ii+31 pages/published in March 2021
ISBN 978-962-441-244-4",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/OP244_S.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP244_S.jpg
PRR02,顧己及人：推動正確行為以改善公廁衞生,"(Having Regard for Oneself and Others: Promoting Proper Behaviour to Improve Public Toilet Cleanliness)
By Fanny M. CHEUNG, Yuk-sik CHONG, Victor W. T. ZHENG and Po-san WAN
Chinese/21.0 x 29.7 cm/paperback/59 + v pages/published in November 2020
ISBN 978-962-441-822-4",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/20201118-141014_3_policy_research_report_02.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/PRR02-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PRR02.jpg
OP243(T),可否消滅貧窮？近二百年來貧窮面貌的變化[繁體中文],"(Can Poverty be Eliminated? Changes in Poverty in the Past Two Hundred Years) [Traditional Chinese]
Kai LIU and Chack-kie WONG
Chinese/21.5 x 14 cm/paperback/ii+37 pages/published in November 2020
ISBN 978-962-441-243-7",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/OP243_T.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP243_T.jpg
OP243(S),可否消灭贫穷？近二百年来贫穷面貌的变化[简体中文],"(Can Poverty be Eliminated? Changes in Poverty in the Past Two Hundred Years) [Simplified Chinese]
Kai LIU and Chack-kie WONG
Chinese/21.5 x 14 cm/paperback/ii+37 pages/published in November 2020
ISBN 978-962-441-243-7",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/OP243_S.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP243_S.jpg
RM111,《香港與台灣的社會政治新動向》,"(New Social and Political Trends in Hong Kong and Taiwan)
蕭新煌、楊文山、尹寶珊、鄭宏泰編
(Edited by Michael Hsin-huang HSIAO, Wen-shan YANG, Po-san WAN, and
Victor Wan-tai ZHENG)
Chinese/21.5 x 14 cm/paperback/xiii + 240 pages/
published in October 2020
ISBN 978-962-441-611-4; list price: US$15.00 (HK$100.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM111.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM111-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e9%a6%99%e6%b8%af%e8%88%87%e5%8f%b0%e7%81%a3%e7%9a%84%e7%a4%be%e6%9c%83%e6%94%bf%e6%b2%bb%e6%96%b0%e5%8b%95%e5%90%91%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM111.jpg
